gene,TCGA-A2-A0T1-01,TCGA-AC-A23H-01,TCGA-AR-A0TX-01,TCGA-AR-A24U-01,TCGA-AR-A254-01,TCGA-BH-A1EV-01,TCGA-BH-A203-01,TCGA-C8-A1HF-01,TCGA-C8-A1HK-01,TCGA-C8-A26X-01,TCGA-C8-A26Y-01,TCGA-C8-A275-01,TCGA-C8-A278-01,TCGA-D8-A1JF-01,TCGA-D8-A1JG-01,TCGA-D8-A1XT-01,TCGA-E2-A1B0-01,TCGA-E2-A1LB-01,TCGA-E9-A1RH-01,TCGA-E9-A248-01,TCGA-EW-A1OV-01,TCGA-EW-A2FR-01,TCGA-GM-A2DB-01,TCGA-GM-A2DH-01
ARID1A,0.987786503999924,0.972451346655743,0.986283260593517,0.96798659884158,0.97065444527939,0.976089430069212,0.97074197344379,0.95838388902527,0.956419404730456,0.962309292205001,0.953231991406928,0.952036760463022,0.964903807103872,0.966827868916823,0.960688143656257,0.976278526331547,0.969910240440099,0.987242231180141,0.968348020808926,0.950588407335896,0.976476085517601,0.956522398888942,0.95419191082452,0.964449987204395
ARID1B,0.990280096690366,0.99364045132639,0.9880227087564,0.98922794108952,0.985474427903704,0.986939095693029,0.987933155121098,0.988210872194521,0.988507874203961,0.988561255118282,0.986856721167746,0.988459640786039,0.985170576703579,0.987763217930902,0.990793742696231,0.987881862387323,0.988228117408903,0.988212908092789,0.984042571347741,0.988412246140039,0.990725467624414,0.987426460491831,0.985983017317826,0.99187335610469
ASPM,0.0514965235265618,0.132347221323778,0.0470180438208387,0.0677242623914099,0.0467374823226155,0.0399168553096561,0.0467223788968051,0.0420003393135463,0.0805823717772235,0.0485011966565301,0.0394654382063596,0.0501401901626993,0.0512237156545508,0.0454833385290088,0.0556989179428828,0.0326002424354983,0.0410498386447294,0.0315891115884432,0.0468128403126638,0.0544634510431149,0.0343138469887208,0.0498065343604318,0.0640306503950141,0.061449983543005
ASXL3,0.0659664217252501,0.814876257521354,0.167587650681382,0.176810439713274,0.040603266233055,0.0300605528336635,0.383890648427613,0.0443014797476984,0.0441070115735551,0.266803044590434,0.075099962845985,0.0697478190062169,0.296115965609657,0.292980529563598,0.070345887718828,0.0381500133961418,0.0591617045327771,0.371415565284492,0.0760174290968002,0.0972189119976937,0.112331822191239,0.0879017853020663,0.0926668776325502,0.142283127483778
ATM,0.919744756513291,0.95647778343552,0.93663700088321,0.944470336617617,0.919819098768888,0.937747003568464,0.95680803087931,0.949631968738602,0.949247141690474,0.933116007639727,0.930033843827582,0.941862516415019,0.948937621819281,0.945615913486896,0.946525122983296,0.933702196478444,0.954364174444391,0.949288582614566,0.948192867428291,0.955241087610788,0.956506353883542,0.92900659747721,0.950626374701988,0.954896191020898
ATRX,0.897840527313921,0.931366337967692,0.930054354690811,0.929195388081448,0.890517463943372,0.918620840173059,0.941981456903999,0.910926276707759,0.886689016375286,0.898165231454859,0.901853109516414,0.940587004123665,0.894950831965584,0.947259681374695,0.863994599065934,0.922417865557005,0.930181511365783,0.953162789403945,0.906621353756045,0.90302260746577,0.895528347280492,0.914893749255718,0.915521542421638,0.93100398492016
BIRC6,0.954468977633856,0.968591167121531,0.942423856961117,0.947504978551736,0.948450531502891,0.941585040753641,0.932881612724851,0.937489587919801,0.953894626886449,0.956587012907129,0.948980490574516,0.938907658362193,0.954381059647583,0.948045877760095,0.940388420503848,0.94447619966987,0.940792992130251,0.951561839193494,0.95037389063562,0.954809836973282,0.930552864810058,0.935123024020014,0.964098474009224,0.945759971301268
BRCA1,0.955531846384203,0.938360846049563,0.955839241683918,0.928884936353581,0.939536143295981,0.944438808239107,0.955359028863517,0.939105353622726,0.934573928492502,0.947990870326084,0.91375547335081,0.944338497204551,0.944415160776854,0.911724157804772,0.933035658905243,0.910254833367574,0.950924893724466,0.940401143759435,0.933385552006479,0.938404438270152,0.910326735836696,0.916950103737796,0.933565968875327,0.9321360534129
BRCA2,0.929878415034655,0.911810191632745,0.955295195661123,0.955755897497711,0.934444632706639,0.960622544432807,0.956544106058536,0.921011872800605,0.954686506122163,0.942512269414995,0.940660830454115,0.964448575977804,0.876209936412712,0.965116594839111,0.903067634952917,0.952906804807477,0.953944243142073,0.966456498615288,0.945788567410361,0.964613137175717,0.959873812241356,0.952563119595385,0.93935732058299,0.969384136998594
CACNA1A,0.919238816313519,0.948235353684507,0.936592345648488,0.912397375608143,0.891339041356587,0.900272465208376,0.909291855436025,0.92906597491908,0.895975801492025,0.925765455214201,0.938301289137718,0.916694655057794,0.925701254111407,0.923688613887233,0.87603547549943,0.893561821274545,0.952351317549217,0.955374919712807,0.956463340984344,0.946705918568414,0.945951096178523,0.925265843035142,0.938728542910219,0.970557382165316
