gene,TCGA-A2-A0T1-01,TCGA-AC-A23H-01,TCGA-AR-A0TX-01,TCGA-AR-A24U-01,TCGA-AR-A254-01,TCGA-BH-A1EV-01,TCGA-BH-A203-01,TCGA-C8-A1HF-01,TCGA-C8-A1HK-01,TCGA-C8-A26X-01,TCGA-C8-A26Y-01,TCGA-C8-A275-01,TCGA-C8-A278-01,TCGA-D8-A1JF-01,TCGA-D8-A1JG-01,TCGA-D8-A1XT-01,TCGA-E2-A1B0-01,TCGA-E2-A1LB-01,TCGA-E9-A1RH-01,TCGA-E9-A248-01,TCGA-EW-A1OV-01,TCGA-EW-A2FR-01,TCGA-GM-A2DB-01,TCGA-GM-A2DH-01
ITPR3,3.14502512352491,3.64324441823266,3.68935490463613,3.09618755572802,3.10413915740292,2.7112448849643,3.27627230168532,3.22516063172571,3.27477635840998,3.60671906069423,3.00305561303597,3.90904717490079,3.90379638807574,4.63792753689938,4.96072001460048,2.85669348974961,4.3706882059014,4.44158286470084,4.38178400979983,3.28762794878718,3.0760059325932,3.36791513578686,2.11998798235382,4.83723484322753
KDM5B,3.64772981772828,4.4670091396846,3.8151104082137,4.25954280801046,4.51740516946203,5.30377144449532,4.20144035943097,3.55677453026838,5.47228365031267,3.95884460446386,4.45724636712961,4.25506250322397,3.7787273818135,4.08735807936274,3.76544384504493,4.79604583999698,4.9483141713226,3.50501219011901,4.02259454661784,5.0985603670333,4.52579634462846,4.04354328712106,3.35944802952364,4.43567548375898
KDM6A,2.70331522879993,4.0276205396716,3.43476430623962,3.02432438382762,2.3503552910185,3.43533574030101,3.1063518597508,2.16955510908751,3.22567070140609,2.51160967088017,3.22086976175172,2.76820340431333,2.4154316236377,4.06445075412121,3.66099650015947,3.32423007467248,3.27498119736109,3.23624108415157,3.19899321332091,3.25499821508089,3.09900704735843,2.66575885873729,2.53323074159276,4.98187676216601
KIF16B,2.43120796959846,4.7627816534628,3.48966312148043,2.58305492726935,3.09657051572514,4.2369571877126,2.63840892187632,2.53869048755247,3.88675591605587,2.21230802917706,2.72339014949178,3.27546229110328,3.17425151427965,3.78365806272937,4.29693855033034,2.94844917617118,2.83871497181502,4.19766751598009,2.3049003921231,3.41466598301544,1.35535798781165,2.869524327234,1.72278991476734,4.11001814578704
KMT2A,1.86174965873321,2.35152470886147,2.35022265065289,2.65837870687967,2.67825837088169,2.70844064492835,2.51045593621887,1.91209415587269,1.7434294061356,1.71615974904008,2.13244400502305,2.5693025132728,2.32944146033301,2.98355968407813,3.29741921276567,2.99598938068371,3.30145855443798,1.73848655877839,3.01721280989376,3.28358255049042,2.40201748304627,2.08584449159494,1.9597771356801,3.43391018994947
KMT2C,2.56003662538948,3.00507764097914,3.21936480356123,3.28908842004412,3.23558828686148,2.95497796152724,2.65435804640044,2.03782453417976,3.25556558584523,2.12561675744107,2.57353427240078,2.87270714764925,2.56240964240314,3.69412936716995,3.60146139071126,3.15599551199161,3.22733624537022,1.95134669611028,3.40616125467629,3.27922619549742,2.86970135317922,2.39310563105156,2.40111650046566,3.00972780013277
KMT2D,2.43737320031053,2.8147036914535,3.75640812110693,2.92566207912839,2.97849777334358,3.26588064296754,2.61771439717102,2.03630092171316,2.65196312686378,2.10456321364794,2.6071532518406,2.58535986333983,2.04559895424348,2.47900094867156,4.25196293098362,2.40467802336302,2.58627585338883,2.31516901295554,2.68972881969863,2.87966947524177,3.12256548175118,2.82590399533404,2.08735719253453,3.58848868632418
LRP1,4.65671272315384,4.30977072065355,4.82524523077407,5.08245215377024,4.82377323719248,4.82253047264268,3.54942092370843,3.67162919542571,2.57526857084169,4.02053827266073,2.51686352296292,3.53499927060335,3.75193002153448,4.06864138318633,4.10103999539475,4.82948976031641,4.52513972449911,3.70415430207904,4.33304510699788,3.76481398389134,4.19646701794715,5.88229021472646,2.36382135688652,3.58184027434307
LRP2,0.0439847743423359,1.26101848192719,0.0901136469539024,1.49077560420754,0.35438110527076,2.70529932085747,0.0631598258457827,0.0307007218446485,0.116322791962294,0.0320010302217601,0.183662799472803,0.124189867251739,0.0718898836738432,0.110225320714467,0.0606249072696962,0.0198542018330133,0.0240683666463605,0.0322952376348218,0.0636968593738636,0.917478705551475,0.049091673419012,0.0928405826712076,0.120650062099736,1.8533524082628
LYST,1.1890195143788,1.54245233532055,1.78617130963712,1.89318189127508,2.34842815416141,1.45677687530563,2.5673166433099,1.32102013543441,2.02378634860673,1.08575189913601,0.858194638190698,2.76518094033657,1.85900475732041,1.5070620098398,2.13297188288224,1.29614406117941,2.54148490294549,1.01246397837733,2.17401137338028,1.9860515366872,1.77885673222645,1.60649131894894,0.959428139873007,2.23183327765863
MACF1,2.57956827837424,2.90413643334058,3.16708491036119,3.36810460544739,2.82618581234866,4.1796660890773,2.14331519432336,2.33335349389776,2.99969672939786,2.36994205301111,2.60186858594004,2.66490708901378,2.55730491152594,2.46337261370511,3.82819152274028,2.75704621579888,3.38560733107689,2.50506897979904,2.03103507996985,3.44303624695238,2.93851828750569,3.15244381717854,1.8620127798003,3.36651275694057
MAP2K4,2.70600725206494,3.18029444931729,3.03029818025045,2.85757971034374,2.67867156565647,2.7505137743231,2.85598787371091,1.31483602586336,2.87049452991308,2.51340517121848,3.01238181239337,3.31174766490858,2.65571744704121,3.90937563997398,2.16955567108745,3.11996071457448,3.46871848443613,3.10514786035106,1.1020316169705,2.93490281875148,2.26002516442704,2.91947101686761,2.53187201353758,2.64768686192872
MAP3K1,2.42021953850726,4.52400429493159,3.43020102122925,3.15867218947594,4.28292901929534,3.56259791199417,3.68486255395942,3.1592259388387,3.6643165381152,2.83482255783371,2.83340231992432,4.16755565096832,3.3701931126576,3.21456833154503,2.67113373558351,3.07470580873925,3.10783014138104,2.84176914368408,4.19394282146443,3.78447966931391,3.16402232529027,3.0176393884202,2.59258383099993,3.74611959422579
MDN1,1.66172453917312,1.95555990672354,2.07427821148729,2.62206303372243,2.61975407318358,1.69210517926971,1.7688374624644,2.00705640440184,2.46088237532647,1.38730643940697,1.56575587764091,1.60860444851574,2.11156357178827,2.16802751416346,5.92334413412731,1.59072461892739,2.86236788105385,2.02510480620498,2.07529499976572,2.23179823127074,2.38477207204363,1.90150339081657,1.66219827635547,3.25561753956228
MED12,2.5272263563692,3.1614695526857,3.29911635039216,3.39973013580705,2.86892504729018,3.4806706370906,3.17902600842845,2.73694575659863,3.88949486548412,2.98086437795202,3.54044652644264,3.33880006217448,2.74465242642964,2.80296899176169,3.51691662732984,3.19394964313944,3.4694939152254,3.04227162670245,3.53777948890407,3.17601270329615,4.02985962966175,3.06203848530496,3.0410053053189,4.15751377974422
MEGF8,2.4285443094082,1.4757614863438,3.30502021565698,2.40729030299609,1.87354598833158,2.49320939130213,1.97644800505245,1.60535488896436,1.29228146618747,1.64310351202402,1.42987802497807,3.54262255110706,1.69419636806634,2.08613995237014,2.14904308646956,1.81178562044497,1.94893616496552,1.49278582154389,1.31780061813432,2.23917815539468,2.09156715918135,2.34577765009621,1.08572775259523,2.40678087301512
MKI67,3.14443824245376,3.5915667379332,3.63710043487999,3.32853396126058,4.89405317572435,3.41744166750234,3.25098875244397,3.8486737944719,3.42324237837689,2.58457584966838,4.06476165500765,4.9561656311157,3.51838884990476,2.34540994724966,4.31517704918609,3.90050450212881,4.27801737835004,2.51668501753102,3.36506427523471,4.18395666056926,3.89151501159024,2.47883204305431,3.26283216005366,5.56888507920977
MUC4,0.0169274188543067,0.0326288178807122,0.030822135832321,0.0145391862664909,0.037377151437519,0.210201779951253,0.020797524555542,0.0180859281928735,0.0112990952066789,0.0142140845487281,0.0410014836601395,0.0154823520755014,0.0139829365368627,0.0111981032372692,0.0148321047078412,0.0226854811982209,0.0074984252478234,0.0665929002249862,0.01827489180826,0.137817513283538,0.0229923957795009,0.0511874358047822,0.260792837781563,0.0955167921739302
