gene,TCGA-A1-A0SK-01,TCGA-A1-A0SO-01,TCGA-A1-A0SP-01,TCGA-A2-A0ST-01,TCGA-A2-A0SX-01,TCGA-A2-A0T0-01,TCGA-A2-A0YE-01,TCGA-A2-A0YJ-01,TCGA-A2-A0YM-01,TCGA-A2-A1G1-01,TCGA-A2-A25F-01,TCGA-A7-A13D-01,TCGA-A7-A13E-01,TCGA-A7-A26G-01,TCGA-AC-A2BK-01,TCGA-AN-A0XU-01,TCGA-AO-A124-01,TCGA-AO-A128-01,TCGA-AO-A1KR-01,TCGA-AR-A0TP-01,TCGA-AR-A0TU-01,TCGA-AR-A0U0-01,TCGA-AR-A1AI-01,TCGA-AR-A1AJ-01,TCGA-AR-A1AQ-01,TCGA-AR-A1AR-01,TCGA-AR-A1AY-01,TCGA-AR-A24Q-01,TCGA-AR-A251-01,TCGA-AR-A256-01,TCGA-AR-A2LR-01,TCGA-B6-A0I1-01,TCGA-B6-A0RT-01,TCGA-B6-A0RU-01,TCGA-B6-A0WX-01,TCGA-B6-A0X1-01,TCGA-BH-A0B3-01,TCGA-BH-A0E0-01,TCGA-BH-A0RX-01,TCGA-BH-A0WA-01,TCGA-BH-A1F0-01,TCGA-BH-A1F6-01,TCGA-BH-A1FC-01,TCGA-C8-A1HJ-01,TCGA-C8-A27B-01,TCGA-D8-A1JK-01,TCGA-D8-A1JL-01,TCGA-D8-A1JM-01,TCGA-D8-A1XK-01,TCGA-D8-A1XQ-01,TCGA-D8-A27F-01,TCGA-D8-A27M-01,TCGA-E2-A14N-01,TCGA-E2-A1AZ-01,TCGA-E2-A1II-01,TCGA-E2-A1LG-01,TCGA-E2-A1LH-01,TCGA-E2-A1LI-01,TCGA-E2-A1LK-01,TCGA-E2-A1LL-01,TCGA-E9-A1N8-01,TCGA-E9-A1N9-01,TCGA-E9-A22G-01,TCGA-E9-A243-01,TCGA-E9-A244-01,TCGA-EW-A1P4-01,TCGA-EW-A1P8-01,TCGA-EW-A1PB-01,TCGA-EW-A1PH-01,TCGA-GM-A2DF-01,TCGA-HN-A2NL-01
CACNA1D,0.969902799978768,0.975777016261213,0.970029769997949,0.969928420463053,0.9710820716157,0.91714939759589,0.96243876088284,0.976980400710667,0.97839136973178,0.978342148858787,0.976623079062843,0.964839419175563,0.985081042431001,0.91254885528473,0.847158241283507,0.968537101986442,0.331275596838273,0.976923326372864,0.980491882327559,0.970018950255985,0.970144558858332,0.945009077676747,0.964755498479917,0.920911773479294,0.971623897274635,0.963933430830992,0.982121097039186,0.966217283043944,0.963406769612661,0.969437484385573,0.97128962325783,0.643710402547098,0.978637786939968,0.978105523765127,0.978610646597164,0.971247215575622,0.977712081840538,0.981127858846853,0.888576485410609,0.978064059177074,0.951018436253349,0.979749214431519,0.967111166169822,0.967102787139449,0.961185580077888,0.968155887391155,0.530043889015379,0.973823137873932,0.979525265390261,0.967254696412402,0.757694433533327,0.970717986972016,0.977683057055435,0.970911072683003,0.956905489948906,0.850574713418473,0.966605274207866,0.970167528370583,0.979164127114956,0.983679972084109,0.977727987941002,0.974204073951606,0.98463801655121,0.969437998749873,0.48031520110927,0.967242239577607,0.975015187474783,0.980915617388078,0.979560226190448,0.965960364275363,0.964879020783957
CASP8,0.935941754273599,0.940678733264121,0.955695369546639,0.939733619659398,0.807601035045905,0.739569988927885,0.917367007668045,0.787607730722538,0.473385885894155,0.954467940105793,0.921039797491116,0.903486419681318,0.831615206877828,0.747502089472944,0.946521885592478,0.848443204473302,0.807507085949122,0.938553438004102,0.930676292675668,0.932692898010744,0.93374680475256,0.936366664308147,0.883051031266417,0.923235600261712,0.877355181862879,0.915038209566217,0.940697843191214,0.905934457418885,0.93100621950682,0.474990292273902,0.957730470477586,0.32765244398876,0.957667355911505,0.963843143247943,0.967384371601362,0.891296822841932,0.953127065238367,0.959089313098935,0.935368202409084,0.861951963399569,0.908596128923268,0.948828873947369,0.918997971162121,0.962644647326121,0.806783284762771,0.931032313855602,0.927321365420152,0.947359320502044,0.939752104184662,0.910532596342812,0.876427076669008,0.918782046948769,0.939531300467967,0.945420111222425,0.906557455751295,0.906867101790153,0.896868494475201,0.850848524660398,0.930403415550942,0.965062864879281,0.944259634993943,0.938878808096389,0.971445204326366,0.93566737058647,0.926707603053046,0.95025026124704,0.936188895176891,0.937244593231679,0.639777057219581,0.915017431361958,0.942866624285335
CBFB,0.92768214902162,0.917043877997432,0.920910065868794,0.930926528888565,0.93570943090975,0.931738336310488,0.967763718693303,0.922643776298317,0.943642110420695,0.925761597991264,0.931264390953887,0.928680969730306,0.949774028249605,0.923780469547457,0.945029158519808,0.957635636685526,0.938226638386781,0.922748883127326,0.935557568952655,0.936322035286675,0.946651532972798,0.943541594046195,0.926845652614055,0.941252808211687,0.941896553005516,0.950872330337527,0.957572171969506,0.936889140079124,0.932749890747402,0.964790577960376,0.788118289396077,0.922441006646497,0.957917977243537,0.909976506499553,0.940218277090339,0.942215938328685,0.931744654685932,0.93605545472987,0.939534302799205,0.945303677776778,0.948220238407604,0.913554663337211,0.945042546874659,0.746047159543315,0.926066985365769,0.927180108900013,0.950009867229956,0.924593284923257,0.942500307817812,0.930627088159335,0.902447357363372,0.940176661510305,0.941809508993162,0.92862475154249,0.953213358563199,0.950940844276115,0.948451075340511,0.928078848535146,0.883563332417509,0.927923257676575,0.849175691271356,0.957222272127955,0.959863861161409,0.941221430408716,0.933719798629332,0.890047055182992,0.929650256281637,0.936376572306853,0.782404731669866,0.89153849726447,0.921418781154472
CDH1,0.941292914499452,0.951596549212796,0.932198664393544,0.929786887059002,0.936043220417239,0.929467811041236,0.932932656013897,0.937486928762733,0.928984867430293,0.94083143202986,0.934212784324214,0.914724772124615,0.948880096243715,0.95302667001365,0.947963409191017,0.944461844071929,0.961364926667927,0.936030319677028,0.948634137025814,0.953426139374215,0.935135446364375,0.951138638208849,0.949374011971077,0.932282606423246,0.943430703241324,0.92354659225968,0.926988051100488,0.947211509234847,0.931733150826541,0.902896661878934,0.958747532679037,0.954117090505288,0.945329532573435,0.95418146768572,0.897646093623881,0.917323966991731,0.96516829394289,0.930742100483572,0.937139476630643,0.936463472781138,0.961023473047244,0.970543594391341,0.950486436316616,0.970109102410043,0.959246585527795,0.825738448465615,0.902500315317556,0.954247037840567,0.886495754581016,0.943189014174704,0.941561546318477,0.93128644167244,0.936788385672637,0.949415995495294,0.904816635016607,0.94003008408213,0.934948012832315,0.949793900725508,0.931367434725678,0.945633808906913,0.865629711765094,0.921484049641899,0.944598957118243,0.885957034199562,0.922516904569819,0.926159194931439,0.908591221345806,0.887291849791361,0.94292866546429,0.944383096151149,0.956750968816519
CENPE,0.895935861388848,0.942745537288014,0.927080008408034,0.937099038018887,0.917834783721393,0.86033790879907,0.921312331758704,0.906036311350155,0.94093775147589,0.917814487294418,0.94552678304204,0.883538758047144,0.942024735525759,0.941887023784308,0.912701921965134,0.917655123172368,0.855965543314533,0.934415446390483,0.936621093189164,0.872810807553965,0.947549350820681,0.928100229662467,0.932724877833939,0.912006538384603,0.925456560139678,0.943876730431015,0.906402489924401,0.920495309737075,0.886433658961229,0.953831987420961,0.947308325146107,0.888402577898248,0.907846884890576,0.896086198896773,0.904608510336991,0.90589012198954,0.92833809334214,0.914538213027016,0.925875040070133,0.838987818009301,0.948891699588388,0.940363902596434,0.89389222454108,0.927770757372571,0.933912515611489,0.929717196386022,0.911012264124962,0.901276419234774,0.917496154029912,0.872412271200277,0.931665422373826,0.937827781261725,0.939787150836295,0.939754274068536,0.934684046876362,0.829631497123287,0.934322657902538,0.919965231866985,0.949216062242357,0.893883544143168,0.901343708230933,0.923680383205586,0.947231905909628,0.934132385691856,0.942639839134404,0.931317940548136,0.936621163440056,0.921338417409304,0.844031953671157,0.961315681210637,0.933035578916077
CEP350,0.944812836723256,0.95574870650142,0.909335633696149,0.936963895373293,0.927652036789059,0.911130187464756,0.89029466279981,0.88624644969326,0.937931875996032,0.917860000363007,0.926064274395854,0.933196037858822,0.941780539639338,0.929993273482891,0.910314524459683,0.949201970821229,0.928739413672895,0.936582231689327,0.904662802133749,0.916452789939664,0.92634519435296,0.950702977587337,0.857078697192793,0.939845886076368,0.907720759529715,0.932467490413183,0.920716134374625,0.900413955199178,0.920581177322589,0.899558228525195,0.922457727561553,0.922029428633155,0.920496277290484,0.915279809042212,0.945623848829275,0.947729406517955,0.917473846902587,0.893279977276856,0.921352970119784,0.939812282048004,0.938205190669881,0.905887438595994,0.911357739616049,0.891964860686411,0.935472062343374,0.917462974384713,0.943379167985301,0.92102771568917,0.949574920325392,0.923330251124268,0.777257533035435,0.897933629708695,0.923588178167167,0.928038738589575,0.897184596844996,0.688250397448365,0.926334502462804,0.914124045812782,0.952422898792573,0.930060322048255,0.933075641467401,0.883075788567899,0.968166070141373,0.908469758127939,0.929089908160347,0.871455340569788,0.93732543761635,0.92810858555748,0.812807295075919,0.90624045485011,0.952616216765929
CHD4,0.791493434340061,0.955836580956717,0.947056275686773,0.945164071894476,0.946575947057265,0.934714470610238,0.955017718480187,0.946748582706675,0.950971905281879,0.957591977313066,0.963320047647888,0.924498532208143,0.96313359141844,0.959759864055527,0.958813981976809,0.956256918679088,0.95083942661372,0.951762406366281,0.963588749675494,0.946269181565701,0.962186664769839,0.937265467987533,0.939601444880657,0.92902912276482,0.953748425210005,0.952710730712363,0.952220712410297,0.952781245384499,0.952522547006508,0.954954232987068,0.937624900795923,0.956892262834957,0.949326013383911,0.936176822798263,0.943999888933818,0.942731271618212,0.960893269416375,0.95888881448249,0.93975617778018,0.932299884766315,0.94342651014482,0.961794088045096,0.958868645883287,0.965598582141862,0.959974287458819,0.951657346169474,0.958877991305053,0.931563654367728,0.944058727576426,0.945261003909344,0.949181112021776,0.955370065558018,0.949408790760288,0.94055829198857,0.943324015492264,0.939638173011154,0.948975511617849,0.942957290980182,0.965236649696702,0.950614621073814,0.957634848897501,0.959745550777857,0.969172763908611,0.947509792294232,0.963493630617775,0.951544828858377,0.947171541962005,0.957361538219861,0.941454161770101,0.953295323376289,0.950264807962823
CHD7,0.991628258316017,0.989489244106205,0.988844760664453,0.988192056186897,0.989857581762982,0.988972071757255,0.985996920528722,0.990285187115137,0.991155889224036,0.986795015769877,0.986141442201215,0.982289350502931,0.992004447736591,0.986737053246642,0.987782525049424,0.990096111359869,0.988440020108306,0.76633758758472,0.988229670830202,0.990727736058991,0.989466597175367,0.990703056894632,0.990580819125597,0.981644290111275,0.989844309987512,0.988200914358854,0.990791001896938,0.98388116189682,0.986479468257869,0.986508861139396,0.989074971517374,0.988242539703819,0.988709914510585,0.990590004709067,0.988305234708948,0.989273372516783,0.991126318111041,0.990268286484883,0.991729446379996,0.989406317900967,0.988243285653502,0.990974417845953,0.990572309642934,0.990179941999109,0.984800289920772,0.863047129618386,0.990799425139829,0.987304439295798,0.986955246277613,0.983753202798369,0.984448667362081,0.989376699126005,0.989836262105172,0.989808352497068,0.988533329358732,0.986283505632747,0.983100730644581,0.990020248342696,0.98919407931987,0.988763159917675,0.988842009826133,0.987684848648284,0.97044769281275,0.982631014674175,0.986641023269797,0.989332044239864,0.98914984316984,0.989015471756624,0.991125489358734,0.990283807321596,0.983955130480779
COL14A1,0.94472751470423,0.941409957516839,0.947441132156216,0.906478486056326,0.928749408349928,0.93851715452103,0.93317595500066,0.855752256183644,0.937923332862759,0.940309520328211,0.92164449187851,0.928467772237778,0.790905659013602,0.933232015773931,0.944691671526871,0.922193825462661,0.890246956964689,0.932163689236721,0.922601424471456,0.926839696478211,0.896635246488337,0.921453035430149,0.87809963721137,0.917887169368087,0.915379576268859,0.942844474743263,0.942138566006617,0.927345375557845,0.940153968347347,0.95437659743409,0.898972832353228,0.940693959512703,0.937766693599957,0.924483176998992,0.940350834383164,0.918194884309413,0.959089138068296,0.942017536368587,0.935496075077116,0.947610951453658,0.880881313528526,0.923734990469367,0.93546201377174,0.930079363675422,0.928800466063452,0.921863078808095,0.931820153896227,0.933990202482015,0.934658700998948,0.899675237441394,0.93608897040539,0.87348857449861,0.916012374024349,0.919657411527154,0.924245478263238,0.926917821972613,0.92876710991189,0.932448117059513,0.882554743022819,0.791496319057357,0.939340039021679,0.93747894892756,0.95196984237474,0.925030978911973,0.930023979519363,0.921243702417686,0.920490586966645,0.908135784580594,0.842813920552742,0.896786658516525,0.945893990753142
CREBBP,0.933665573733083,0.989354177823095,0.985229493803473,0.987210448015332,0.983514948395319,0.970286848485213,0.988349185440612,0.984931522663853,0.987177564469924,0.972403272033242,0.945951839715106,0.963729009510998,0.984362445165142,0.934407897474457,0.968762695012669,0.985187090635143,0.934022456875899,0.990499504689786,0.982058261889061,0.986943286639919,0.984983234107721,0.992103853999549,0.965601678668564,0.98266548949709,0.982977033136161,0.982585580232515,0.977154035691523,0.921903779902864,0.919412379561485,0.933859254931141,0.965287723241679,0.939309109792851,0.986979156745113,0.973343601598854,0.987172629840641,0.981786345413679,0.988261161105074,0.982681161465806,0.983325613513121,0.987214670298322,0.983539310984263,0.984611257100555,0.982632344292788,0.980953088038192,0.962343502742851,0.975806652159998,0.970412245245416,0.978396649844777,0.98303656337664,0.977551804034509,0.908550083547934,0.919155119944624,0.961363360116373,0.97481087007606,0.984076690868949,0.938946501758344,0.955087462118077,0.984346265959273,0.979146407877856,0.980700156151577,0.986843317586869,0.927743389618153,0.97686266449906,0.916944385371302,0.931352674801326,0.976899980519291,0.985393534453718,0.981261787513816,0.96596451919462,0.97403486106634,0.958403852342331
